Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived,Title,FamilySize,FamilyType,Child,Mother
3,male,29.0,0,0,16.1,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,20.0,0,0,13.8625,D,C,1,Mr,1.0,Singletone,0.0,0.0
1,male,27.0,0,0,76.7292,D,C,1,Mr,1.0,Singletone,0.0,0.0
1,male,31.0,1,0,57.0,B,S,1,Mr,2.0,SmallFamily,0.0,0.0
1,male,41.0,0,0,35.0,C,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
2,male,32.0,2,0,73.5,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,female,10.0,0,2,24.15,U,S,0,Miss,3.0,SmallFamily,1.0,0.0
1,male,58.0,0,2,113.275,D,C,0,Mr,3.0,SmallFamily,0.0,0.0
2,male,31.0,0,0,13.0,U,S,1,Mr,1.0,Singletone,0.0,0.0
1,male,41.0,0,0,0.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,61.0,0,0,33.5,B,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,2,0,23.25,U,Q,1,Miss,3.0,SmallFamily,1.0,0.0
1,female,48.0,1,1,79.2,B,C,1,Mrs,3.0,SmallFamily,0.0,1.0
2,male,2.0,1,1,23.0,U,S,1,Master,3.0,SmallFamily,1.0,0.0
1,male,36.0,0,0,26.3875,E,S,1,Mr,1.0,Singletone,0.0,0.0
3,male,31.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
1,female,18.0,1,0,227.525,C,C,1,Mrs,2.0,SmallFamily,0.0,0.0
3,male,47.0,0,0,9.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,18.0,0,0,10.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,38.0,0,0,7.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,22.0,0,0,10.5,F,S,1,Mrs,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,25.0,0,0,7.225,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,9.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,39.0,1,0,71.2833,C,C,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,female,11.0,4,2,31.275,U,S,0,Miss,7.0,LargeFamily,1.0,0.0
3,male,28.0,0,0,7.225,U,C,0,Mr,1.0,Singletone,0.0,0.0
2,male,22.0,2,0,31.5,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,22.525,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,19.0,1,0,26.0,U,S,1,Mrs,2.0,SmallFamily,0.0,0.0
1,male,41.0,0,0,227.525,U,C,0,Mr,1.0,Singletone,0.0,0.0
1,male,22.0,0,0,135.6333,U,C,0,Mr,1.0,Singletone,0.0,0.0
2,female,21.0,0,0,33.0,U,S,1,Miss,1.0,Singletone,0.0,0.0
3,female,22.0,0,0,7.775,U,S,1,Miss,1.0,Singletone,0.0,0.0
3,male,26.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,15.5,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,21.0,0,0,7.8,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,31.0,0,0,21.0,U,S,1,Mrs,1.0,Singletone,0.0,0.0
3,female,32.0,0,0,8.05,U,S,0,Mrs,1.0,Singletone,0.0,0.0
2,female,34.0,0,0,10.5,F,S,1,Mrs,1.0,Singletone,0.0,0.0
3,male,28.0,1,0,15.5,U,Q,0,Mr,2.0,SmallFamily,0.0,0.0
2,male,19.0,0,0,10.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,7.0,4,1,29.125,U,Q,0,Master,6.0,LargeFamily,1.0,0.0
2,male,23.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,54.0,1,0,78.2667,D,C,1,Miss,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,8.4583,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,19.0,0,0,7.65,F,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,36.0,0,0,7.4958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,32.0,0,0,7.8542,U,S,1,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,56.4958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,45.0,0,0,6.975,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,20.0,1,0,9.825,U,S,0,Miss,2.0,SmallFamily,0.0,0.0
2,male,36.0,0,0,12.875,D,C,0,Mr,1.0,Singletone,0.0,0.0
1,male,28.0,1,0,82.1708,U,C,0,Mr,2.0,SmallFamily,0.0,0.0
1,male,38.0,0,0,0.0,U,S,0,Royalty,1.0,Singletone,0.0,0.0
2,female,42.0,1,0,26.0,U,S,1,Mrs,2.0,SmallFamily,0.0,0.0
2,female,36.0,0,3,39.0,F,S,1,Mrs,4.0,SmallFamily,0.0,1.0
1,male,31.0,0,0,50.4958,A,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,39.0,1,5,31.275,U,S,0,Mr,7.0,LargeFamily,0.0,0.0
3,male,22.0,0,0,7.775,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,28.0,0,0,7.775,U,S,0,Miss,1.0,Singletone,0.0,0.0
3,male,26.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,0,0,7.75,U,Q,1,Miss,1.0,Singletone,1.0,0.0
2,female,12.0,0,0,15.75,U,S,1,Miss,1.0,Singletone,1.0,0.0
2,female,26.0,0,0,13.5,U,S,1,Miss,1.0,Singletone,0.0,0.0
2,male,47.0,0,0,10.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,29.0,0,0,13.8583,U,C,1,Mr,1.0,Singletone,0.0,0.0
2,female,36.0,0,0,13.0,U,S,1,Miss,1.0,Singletone,0.0,0.0
3,male,19.0,0,0,10.1708,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,0,0,7.7333,U,Q,1,Miss,1.0,Singletone,1.0,0.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,41.0,0,0,30.6958,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,17.0,0,0,8.6625,U,S,0,Mr,1.0,Singletone,1.0,0.0
2,female,28.0,0,0,13.0,U,S,1,Mrs,1.0,Singletone,0.0,0.0
2,male,27.0,0,0,15.0333,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,74.0,0,0,7.775,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,22.0,0,0,39.6875,U,S,0,Miss,1.0,Singletone,0.0,0.0
3,female,20.0,0,0,8.6625,U,S,0,Miss,1.0,Singletone,0.0,0.0
3,female,17.0,0,0,7.8792,U,Q,1,Miss,1.0,Singletone,1.0,0.0
1,female,43.0,0,0,79.2,U,C,1,Mrs,1.0,Singletone,0.0,0.0
3,male,32.0,0,0,7.925,U,S,1,Mr,1.0,Singletone,0.0,0.0
2,male,31.0,0,0,10.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,50.0,1,0,106.425,C,C,0,Mr,2.0,SmallFamily,0.0,0.0
1,male,64.0,1,4,263.0,C,S,0,Mr,6.0,LargeFamily,0.0,0.0
3,male,28.0,0,0,7.7375,U,Q,0,Mr,1.0,Singletone,0.0,0.0
2,male,30.0,0,0,13.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,54.0,0,0,14.0,U,S,0,Officer,1.0,Singletone,0.0,0.0
2,male,21.0,1,0,11.5,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
1,male,47.0,1,0,227.525,C,C,0,Officer,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,8.7125,U,C,0,Mr,1.0,Singletone,0.0,0.0
1,male,65.0,0,1,61.9792,B,C,0,Mr,2.0,SmallFamily,0.0,0.0
3,female,25.0,1,0,7.925,U,S,0,Miss,2.0,SmallFamily,0.0,0.0
3,male,19.0,0,0,6.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,32.0,1,0,15.85,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
2,female,6.0,0,1,33.0,U,S,1,Miss,2.0,SmallFamily,1.0,0.0
3,female,32.0,0,0,7.225,U,C,1,Mrs,1.0,Singletone,0.0,0.0
1,male,23.0,0,0,93.5,B,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,3.0,1,2,41.5792,U,C,1,Miss,4.0,SmallFamily,1.0,0.0
3,male,29.0,0,0,7.875,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,24.0,0,0,13.0,U,S,0,Miss,1.0,Singletone,0.0,0.0
2,male,34.0,1,0,26.0,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.2292,U,C,0,Mr,1.0,Singletone,0.0,0.0
2,male,38.0,1,0,21.0,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,14.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,33.0,0,0,5.0,B,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,19.0,0,0,7.2292,U,C,0,Mr,1.0,Singletone,0.0,0.0
1,male,36.0,0,0,40.125,A,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,33.0,1,1,20.525,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,21.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,43.0,0,1,55.0,E,S,1,Mrs,2.0,SmallFamily,0.0,1.0
3,male,29.0,0,0,7.8958,U,C,1,Mr,1.0,Singletone,0.0,0.0
3,male,29.0,0,0,7.75,U,Q,1,Mr,1.0,Singletone,0.0,0.0
3,male,25.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,21.0,0,0,7.775,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.8958,U,C,0,Mr,1.0,Singletone,0.0,0.0
1,male,41.0,0,0,25.7417,U,C,1,Mr,1.0,Singletone,0.0,0.0
3,male,29.0,0,0,7.925,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,27.0,0,0,7.7958,U,S,1,Mr,1.0,Singletone,0.0,0.0
2,female,30.0,0,0,12.35,U,Q,1,Miss,1.0,Singletone,0.0,0.0
3,male,22.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,50.0,1,0,55.9,E,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,37.0,2,0,7.925,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,51.0,0,0,7.75,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,19.0,0,0,0.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,29.0,0,0,30.0,D,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,0,1,16.1,U,S,1,Miss,2.0,SmallFamily,1.0,0.0
1,female,35.0,1,0,53.1,C,S,1,Mrs,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,39.0,0,1,13.4167,U,C,1,Mr,2.0,SmallFamily,0.0,0.0
3,female,4.0,0,1,13.4167,U,C,1,Miss,2.0,SmallFamily,1.0,0.0
2,female,33.0,1,2,27.75,U,S,1,Mrs,4.0,SmallFamily,0.0,1.0
3,female,17.0,1,0,24.15,U,Q,1,Miss,2.0,SmallFamily,1.0,0.0
3,male,17.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,1.0,0.0
3,male,33.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,8.1125,U,S,1,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.225,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,female,23.0,0,0,8.05,U,S,1,Miss,1.0,Singletone,0.0,0.0
3,male,4.0,3,2,27.9,U,S,0,Master,6.0,LargeFamily,1.0,0.0
1,female,33.0,1,0,90.0,C,Q,1,Miss,2.0,SmallFamily,0.0,0.0
3,female,33.0,3,0,15.85,U,S,1,Mrs,4.0,SmallFamily,0.0,0.0
1,male,27.0,0,2,211.5,C,C,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,20.0,0,0,9.8458,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,46.0,0,0,28.5,C,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
1,male,49.0,0,0,26.0,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,6.0,1,1,22.3583,U,C,1,Master,3.0,SmallFamily,1.0,0.0
1,female,43.0,0,0,31.6833,U,S,1,Mrs,1.0,Singletone,0.0,0.0
3,male,22.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,female,19.0,0,2,26.2833,D,S,1,Miss,3.0,SmallFamily,0.0,0.0
3,male,31.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,36.0,0,0,13.0,D,S,1,Mrs,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.25,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,23.0,0,0,15.0458,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,6.0,8,2,69.55,U,S,0,Master,11.0,LargeFamily,1.0,0.0
3,male,4.0,4,1,29.125,U,Q,0,Master,6.0,LargeFamily,1.0,0.0
3,female,22.0,2,0,8.6625,U,S,0,Miss,3.0,SmallFamily,0.0,0.0
3,male,43.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.8792,U,Q,0,Mr,1.0,Singletone,0.0,0.0
2,female,27.0,1,0,21.0,U,S,0,Mrs,2.0,SmallFamily,0.0,0.0
3,male,30.0,0,0,9.5,U,S,1,Mr,1.0,Singletone,0.0,0.0
2,male,27.0,1,0,26.0,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,42.0,0,0,7.55,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,34.0,0,1,23.0,U,S,1,Mrs,2.0,SmallFamily,0.0,1.0
3,male,35.0,0,0,7.8292,U,Q,0,Mr,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,female,17.0,0,0,12.0,U,C,1,Miss,1.0,Singletone,1.0,0.0
3,female,45.0,1,4,27.9,U,S,0,Mrs,6.0,LargeFamily,0.0,1.0
3,male,31.0,0,0,7.775,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,34.0,1,0,21.0,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,40.0,1,6,46.9,U,S,0,Mr,8.0,LargeFamily,0.0,0.0
2,male,28.0,0,1,33.0,U,S,0,Officer,2.0,SmallFamily,0.0,0.0
3,male,16.0,1,3,34.375,U,S,0,Mr,5.0,LargeFamily,1.0,0.0
1,female,44.0,0,0,27.7208,B,C,1,Mrs,1.0,Singletone,0.0,0.0
2,female,40.0,0,0,13.0,U,S,1,Miss,1.0,Singletone,0.0,0.0
3,male,28.0,0,0,7.8958,U,C,0,Mr,1.0,Singletone,0.0,0.0
3,male,14.0,4,1,39.6875,U,S,0,Mr,6.0,LargeFamily,1.0,0.0
3,female,32.0,1,0,15.5,U,Q,1,Mrs,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,8.05,U,S,0,Mr,1.0,Singletone,0.0,0.0
1,male,48.0,1,0,52.0,C,S,1,Mr,2.0,SmallFamily,0.0,0.0
3,female,24.0,0,0,7.75,U,Q,1,Miss,1.0,Singletone,0.0,0.0
3,female,31.0,1,1,20.525,U,S,1,Mrs,3.0,SmallFamily,0.0,1.0
3,male,28.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,45.0,0,1,14.4542,U,C,0,Mrs,2.0,SmallFamily,0.0,1.0
1,female,27.0,1,2,52.0,B,S,1,Mrs,4.0,SmallFamily,0.0,1.0
3,female,21.0,0,0,7.65,U,S,1,Miss,1.0,Singletone,0.0,0.0
3,female,28.0,0,0,7.8958,U,S,0,Miss,1.0,Singletone,0.0,0.0
1,male,51.0,0,1,61.3792,U,C,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.05,U,S,1,Mr,1.0,Singletone,0.0,0.0
3,female,30.0,1,0,15.55,U,S,0,Mrs,2.0,SmallFamily,0.0,0.0
3,male,65.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
1,male,45.0,0,0,29.7,A,C,1,Mr,1.0,Singletone,0.0,0.0
2,male,61.0,0,0,12.35,U,Q,0,Mr,1.0,Singletone,0.0,0.0
2,male,37.0,1,0,26.0,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,9.5,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,50.0,1,0,26.0,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
2,male,1.0,1,1,14.5,U,S,1,Master,3.0,SmallFamily,1.0,0.0
3,male,43.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,36.0,1,0,15.55,U,S,0,Mr,2.0,SmallFamily,0.0,0.0
3,male,21.0,0,0,7.925,U,S,0,Mr,1.0,Singletone,0.0,0.0
3,male,32.0,0,0,7.8958,U,S,0,Mr,1.0,Singletone,0.0,0.0
2,male,26.0,0,0,13.0,F,S,0,Mr,1.0,Singletone,0.0,0.0
3,female,17.0,3,1,25.4667,U,S,0,Miss,5.0,LargeFamily,1.0,0.0
1,male,24.0,0,0,79.2,B,C,0,Mr,1.0,Singletone,0.0,0.0
1,female,50.0,0,1,247.5208,B,C,1,Mrs,2.0,SmallFamily,0.0,1.0
3,male,40.0,1,1,15.5,U,Q,0,Mr,3.0,SmallFamily,0.0,0.0
2,male,32.0,0,0,15.5792,U,C,0,Mr,1.0,Singletone,0.0,0.0
1,female,43.0,0,0,27.7208,U,C,1,Mrs,1.0,Singletone,0.0,0.0
2,male,43.0,1,1,26.25,U,S,0,Mr,3.0,SmallFamily,0.0,0.0
3,male,28.0,0,0,7.75,U,Q,0,Mr,1.0,Singletone,0.0,0.0
